sr_no,date,startup,industry,subvertical,city__location,investors,investment_type,amount,remarks,year
1,2020-09-01,BYJUâS,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,200000000.0,,2020
3,2020-09-01,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,18358860.0,,2020
4,2020-02-01,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000.0,,2020
5,2020-02-01,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000.0,,2020
7,2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000.0,,2020
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0,,2019
9,2019-06-12,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0,,2019
10,2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000.0,,2019
16,2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0,,2019
25,2019-12-11,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0,,2019
27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0,,2019
33,2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0,,2019
34,2019-02-10,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000000.0,,2019
36,2019-05-09,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4500000.0,,2019
37,2019-04-09,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0,,2019
38,2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0,,2019
39,2019-04-09,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0,,2019
40,2019-04-09,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0,,2019
41,2019-04-09,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0,,2019
42,2019-04-09,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000.0,,2019
43,2019-04-09,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0,,2019
44,2019-03-09,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000.0,,2019
45,2019-01-08,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0,,2019
46,2019-01-08,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0,,2019
47,2019-01-08,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Unknown,Seed Funding Round,1600000.0,,2019
48,2019-01-08,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,140000000.0,,2019
49,2019-01-08,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0,,2019
50,2019-12-08,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0,,2019
62,2019-02-07,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000.0,,2019
63,2019-02-07,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,,2019
64,2019-01-07,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0,,2019
65,2019-03-07,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,,2019
66,2019-01-07,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0,,2019
67,2019-04-07,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0,,2019
68,2019-10-07,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0,,2019
69,2019-11-07,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,,2019
70,2019-10-07,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0,,2019
71,2019-10-07,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0,,2019
72,2019-10-07,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,,2019
73,2019-09-07,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,,2019
74,2019-08-07,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0,,2019
75,2019-05-06,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0,,2019
76,2019-04-06,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0,,2019
77,2019-03-06,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,4889975.54,,2019
78,2019-03-06,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0,,2019
79,2019-04-06,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000.0,,2019
80,2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,26000000.0,,2019
81,2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0,,2019
82,2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,2739034.68,,2019
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000.0,,2019
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0,,2019
85,2019-10-06,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0,,2019
86,2019-10-06,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0,,2019
87,2019-06-06,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0,,2019
88,2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0,,2019
89,2019-04-06,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0,,2019
91,2019-06-05,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0,,2019
93,2019-01-05,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000.0,,2019
94,2019-02-05,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0,,2019
100,2019-12-04,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0,,2019
101,2019-10-04,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665.0,,2019
103,2019-12-04,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0,,2019
104,2019-11-04,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0,,2019
105,2019-10-04,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0,,2019
106,2019-10-04,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0,,2019
107,2019-10-04,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,307000.0,,2019
108,2019-11-04,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000.0,,2019
114,2019-08-02,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000.0,,2019
117,2019-03-01,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000.0,,2019
118,2019-04-01,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000.0,,2019
119,2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,5000000.0,,2019
120,2018-04-12,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0,,2018
121,2018-01-12,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0,,2018
122,2018-02-12,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0,,2018
123,2018-02-12,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000.0,,2018
124,2018-04-12,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0,,2018
125,2018-06-12,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,2000000.0,,2018
126,2018-06-12,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000.0,,2018
127,2018-01-11,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,138995.0,,2018
128,2018-03-11,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000.0,,2018
129,2018-06-11,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000.0,,2018
130,2018-08-11,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000.0,,2018
131,2018-08-11,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000.0,,2018
132,2018-12-11,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,1000000.0,,2018
133,2018-12-11,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000.0,,2018
146,2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,11000000.0,,2018
147,2018-04-10,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,,2018
148,2018-05-10,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0,,2018
149,2018-11-10,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0,,2018
150,2018-12-10,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0,,2018
151,2018-12-10,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0,,2018
152,2018-01-09,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000.0,,2018
153,2018-03-09,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000.0,,2018
154,2018-03-09,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,6390000.0,,2018
155,2018-04-09,3HCare,Healthcare,Healthcare Service Provider,Delhi,Unknown,Seed / Angel Funding,1000000.0,,2018
157,2018-05-09,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0,,2018
159,2018-06-09,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000.0,,2018
160,2018-10-09,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0,,2018
161,2018-11-09,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000.0,,2018
162,2018-11-09,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0,,2018
163,2018-11-09,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,,2018
164,2018-12-09,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000.0,,2018
165,2018-01-08,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,400000.0,,2018
167,2018-02-08,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0,,2018
168,2018-03-08,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0,,2018
169,2018-07-08,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Unknown,Seed/ Angel Funding,1000000.0,,2018
170,2018-07-08,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,,2018
171,2018-07-08,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0,,2018
172,2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0,,2018
173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0,,2018
174,2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0,,2018
175,2018-09-08,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0,,2018
176,2018-09-08,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0,,2018
191,2018-02-07,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,1000000.0,,2018
192,2018-04-07,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0,,2018
194,2018-06-07,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0,,2018
195,2018-09-07,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,440000.0,,2018
196,2018-09-07,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,1100000.0,,2018
197,2018-10-07,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,437000.0,,2018
199,2018-10-07,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5000000.0,,2018
200,2018-10-07,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000.0,,2018
201,2018-11-07,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0,,2018
202,2018-12-07,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,180000.0,,2018
203,2018-12-07,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,500000.0,,2018
226,2018-01-06,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.0,,2018
227,2018-04-06,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,125000.0,,2018
231,2018-07-06,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000.0,,2018
232,2018-07-06,Meesho,Consumer Internet,Online Marketplace For Resellers,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000.0,,2018
233,2018-10-06,AyeFinance,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000.0,,2018
235,2018-12-06,Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,14800000.0,,2018
236,2018-12-06,eshakti,E-Commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,10100000.0,,2018
237,2018-12-06,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bengaluru,Saama Capital and Sequoia Capital,Seed/ Angel Funding,3000000.0,,2018
258,2018-02-05,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,450000.0,,2018
259,2018-02-05,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000.0,,2018
260,2018-03-05,Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000.0,,2018
261,2018-07-05,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,Unknown,Seed / Angel Funding,225000.0,,2018
262,2018-09-05,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,1000000.0,,2018
263,2018-11-05,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,949000.0,,2018
281,2018-02-04,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000.0,,2018
282,2018-02-04,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,307600.0,,2018
284,2018-02-04,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bengaluru,Unknown,Seed / Angel Funding,1300000.0,,2018
285,2018-04-04,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,55000000.0,,2018
286,2018-05-04,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,150000.0,,2018
287,2018-05-04,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,10000000.0,,2018
288,2018-09-04,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,2800000.0,,2018
289,2018-09-04,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,1000000.0,,2018
291,2018-09-04,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,Unknown,Seed / Angel Funding,46140.0,,2018
293,2018-10-04,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,12000000.0,,2018
294,2018-12-04,Letsmd,Healthcare,Platform To Discover Healthcare Financing Options,Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate",Seed / Angel Funding,1000000.0,,2018
295,2018-12-04,AyeFinance,Finance,Online Lending Platform,Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow",Debt Funding,4600000.0,,2018
317,2018-01-03,Buddy4studdy,Consumer Internet,Online Scholarship Portal,Noida,CBA Capital and others,Private Equity,3000000.0,,2018
318,2018-01-03,Urban Ladder,E-Commerce,Online Furniture Store,Bengaluru,"Sequoia Capital, SAIF Partners and Kalaari capital",Private Equity,12000000.0,,2018
319,2018-03-03,Kuvera,Consumer Internet,Online Financial Planning,Bengaluru,"Baskar Subramanian, Saket Kumar, Gaurav Suri and Ankit Kesarwani",Seed / Angel Funding,250000.0,,2018
320,2018-04-03,Gramophone,Technology,Agri-tech,Indore,InfoEdge,Seed/Angel Funding,1000000.0,,2018
321,2018-05-03,Wellthy,Healthcare,Therapeutics,Mumbai,"Ranjan Pai, Apoorva Patni, Beenext Ventures,GrowX Ventures",Private Equity,2100000.0,,2018
322,2018-05-03,MedGenome,Healthcare,"Genetic Screening, DNA Diagnostics Labs & Research Centers",Bengaluru,"HDFC Life, HDFC Asset Management",Private Equity,10000000.0,,2018
323,2018-05-03,Finova Capital,Consumer Internet,Online Lending,Jaipur,Sequoia Capital,Private Equity,6000000.0,,2018
324,2018-05-03,Hotelogix,Technology,Cloud based Online Hotel Management Software,Noida,"Vertex Ventures, Accel Partners and Saama Capital",Private Equity,5000000.0,,2018
325,2018-04-03,Livehealth,Consumer Internet,Health Service Aggregator Platform,Pune,Nexus Venture Partners,Seed / Angel Funding,1100000.0,,2018
326,2018-06-03,Ad2pro,Technology,"Creative Design, Brand, Media and Technology Platform Solutions",Chennai,Avendus Finance Pvt. Ltd,Debt Funding,9700000.0,,2018
327,2018-06-03,Coverfox,Consumer Internet,Online Insurance Aggregator,Mumbai,Aegon NV,Private Equity,7600000.0,,2018
328,2018-08-03,Pepperfry,Consumer Internet,Online Furniture Shopping Store,Mumbai,State Street Global Advisors,Private Equity,38400000.0,,2018
329,2018-08-03,Magicpin,Consumer Internet,Hyperlocal Discovery,Gurugram,Trifecta Capital,Debt Funding,1000000.0,,2018
330,2018-12-03,HealthCare,Consumer Internet,Healthcare Aggregator,Mumbai,HR Fund,Seed / Angel Funding,1000000.0,,2018
351,2018-01-02,BigBasket,Consumer Internet,Online Grocery & Food Store,Bengaluru,"Alibaba, Helion Venture Partners, Bessemer Venture Partners, Ascent Capital",Private Equity,300000000.0,,2018
352,2018-01-02,Zomato,Food and Beverages,Food Ordering and Restaurant Discovery,Gurugram,Ant Financials,Private Equity,200000000.0,,2018
353,2018-05-02,Pratilipi,Publishing,E-Publishing,Bengaluru,Omidyar Network,Private Equity,4300000.0,,2018
354,2018-05-02,Asia Institute Of Medical Science,Healthcare,Super-specialty Hospital,Faridabad,CDC Group Plc,Private Equity,21000000.0,,2018
355,2018-05-02,CollegeDekho,Consumer Internet,Online platform for Higher Education Services,Gurugram,"Man Capital LLP, Girnar Software, Others",Private Equity,2000000.0,,2018
357,2018-06-02,Healthi,Healthcare,Preventive Health Checkup,Bengaluru,Montane Ventures,Private Equity,3100000.0,,2018
358,2018-07-02,Swiggy,Food and Beverages,Online Food Delivery,Bengaluru,Naspers,Private Equity,100000000.0,,2018
359,2018-08-02,Shape,Healthcare,"Online Portal for Diet,fitness and Beauty",Pune,Sandeep Mathur,Seed / Angle Funding,100000000.0,,2018
360,2018-08-02,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,50000000.0,,2018
361,2018-09-02,healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,12000000.0,,2018
363,2018-09-02,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,6830000.0,,2018
365,2018-12-02,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000.0,,2018
367,2018-12-02,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,935089.0,,2018
393,2018-04-01,EarlySalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,15700000.0,,2018
396,2018-09-01,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,Debt Funding,4700000.0,,2018
397,2018-09-01,Kinsane Entertainment Inc,Entertainment,Digital Entertainment for Children,Mumbai,Unknown,Seed/Angel Funding,2500000.0,,2018
398,2018-10-01,Tapzo,Technology,Personal Assistant,Bengaluru,RuNet & Other,Private Equity,1930000.0,,2018
399,2018-10-01,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,18840000.0,,2018
400,2018-10-01,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,23500000.0,,2018
401,2018-10-01,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,36230000.0,,2018
402,2018-12-01,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,80000.0,,2018
403,2018-12-01,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,20000000.0,,2018
430,2017-05-12,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,12300000.0,,2017
431,2017-05-12,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,23000000.0,,2017
